Epoch 3180/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3190/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3200/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3210/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 3220/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3230/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3240/100000, Disc Loss: 0.64, Gen Loss: 0.87 
Epoch 3250/100000, Disc Loss: 0.64, Gen Loss: 0.91 
Epoch 3260/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3270/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3280/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3290/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 3300/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3310/100000, Disc Loss: 0.67, Gen Loss: 0.82 
Epoch 3320/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3330/100000, Disc Loss: 0.65, Gen Loss: 0.86 
Epoch 3340/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3350/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 3360/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3370/100000, Disc Loss: 0.65, Gen Loss: 0.83 
Epoch 3380/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3390/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3400/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3410/100000, Disc Loss: 0.65, Gen Loss: 0.86 
Epoch 3420/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3430/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3440/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3450/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3460/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3470/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3480/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3490/100000, Disc Loss: 0.65, Gen Loss: 0.86 
Epoch 3500/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3510/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3520/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3530/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3540/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3550/100000, Disc Loss: 0.65, Gen Loss: 0.88 
Epoch 3560/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3570/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3580/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3590/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3600/100000, Disc Loss: 0.63, Gen Loss: 1.0 
Epoch 3610/100000, Disc Loss: 0.66, Gen Loss: 0.84 
Epoch 3620/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3630/100000, Disc Loss: 0.67, Gen Loss: 0.81 
Epoch 3640/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3650/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3660/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3670/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3680/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3690/100000, Disc Loss: 0.67, Gen Loss: 0.82 
Epoch 3700/100000, Disc Loss: 0.67, Gen Loss: 0.81 
Epoch 3710/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3720/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 3730/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3740/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 3750/100000, Disc Loss: 0.66, Gen Loss: 0.84 
Epoch 3760/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3770/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3780/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3790/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3800/100000, Disc Loss: 0.64, Gen Loss: 0.93 
Epoch 3810/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3820/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 3830/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3840/100000, Disc Loss: 0.65, Gen Loss: 0.85 
Epoch 3850/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 3860/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3870/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3880/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 3890/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3900/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 3910/100000, Disc Loss: 0.67, Gen Loss: 0.8 
